t,equity,drawdown
255,1.0605065714423796,-9.43023437116608e-13
256,1.059420597596538,-0.0010240142551531939
257,1.059797002112419,-0.0006690852749690057
258,1.0603998399886767,-0.00010064195505898876
259,1.0616518929189915,-9.420242363944453e-13
260,1.0612288189473769,-0.0003985053626675006
261,1.0607348327139428,-0.0008638049931098957
262,1.0623951768903577,-9.413581025796702e-13
263,1.0615523137177285,-0.0007933612576211946
264,1.0617366384639344,-0.0006198620266238963
265,1.0595576104248834,-0.002670914296483584
266,1.0562749516202954,-0.005760780361381723
267,1.063388238600202,-9.404699241599701e-13
268,1.0625688426801352,-0.000770551987809065
269,1.0639675979016507,-9.399148126476575e-13
270,1.0640377733551876,-9.399148126476575e-13
271,1.0670459326825625,-9.372502773885572e-13
272,1.066388375814435,-0.000616240453186423
273,1.0674569644980552,-9.369172104811696e-13
274,1.0656210307131404,-0.0017199136330301457
275,1.0656962940839532,-0.001649406461953551
276,1.065778218089224,-0.001572659569108903
277,1.0659382083214908,-0.0014227797729318148
278,1.065010800617508,-0.002291580797072368
279,1.0649445635190702,-0.0023536321027837204
280,1.0667209621096847,-0.0006894913929537116
281,1.0665405887172488,-0.000858466254174961
282,1.0678802424322478,-9.364731212713195e-13
283,1.067351714305121,-0.0004949320224546527
284,1.0680806328202295,-9.36362098968857e-13
285,1.0684414191288907,-9.360290320614695e-13
286,1.0666633738491067,-0.0016641485896644603
287,1.069058760163472,-9.35473920549157e-13
288,1.0672114587710413,-0.0017279699323043962
289,1.0654863163606698,-0.0033416720735282013
290,1.0649876541327346,-0.0038081218576901943
291,1.0647017831493346,-0.004075526226890669
292,1.0646151118648035,-0.0041565987439127206
293,1.063461892388636,-0.005235322869413639
294,1.066281886370833,-0.002597494073395823
295,1.066961690619481,-0.0019616036303453654
296,1.0661745157319331,-0.0026979288136559365
297,1.0647487744033413,-0.00403157050082803
298,1.0656864424777017,-0.003154473647689393
299,1.065934019149077,-0.0029228898652067237
300,1.0627443378039108,-0.0059065250628411725
301,1.061399972066878,-0.007164047836262788
302,1.0632548149318104,-0.005429023594333393
303,1.0630749799604124,-0.005597241636314809
304,1.0632169297545708,-0.005464461475440774
305,1.0646010649861026,-0.004169738226253994
306,1.0663697557770222,-0.0025153008306448843
307,1.0654219045541489,-0.0034019230241036924
308,1.0642647012190523,-0.004484373660323726
309,1.067158322567211,-0.0017776736584327324
310,1.067039990660964,-0.0018883615931434283
311,1.067101555490296,-0.0018307737115169642
312,1.0680162123996892,-0.0009752015545174686
313,1.0680534812631104,-0.0009403401747599682
314,1.071772771462826,-9.33142452197444e-13
315,1.0700820679857317,-0.0015774831411188295
316,1.0704262000846034,-0.0012563963323900529
317,1.0698658432897297,-0.0017792280461574883
318,1.0709713244654233,-0.0007477769726396133
319,1.069777037213536,-0.0018620870985220916
320,1.0670244201938213,-0.004430371246994413
321,1.0668728641864438,-0.00457177809312137
322,1.0705384043179234,-0.0011517060134088597
323,1.0692816272346222,-0.002324321251230832
324,1.0695450172995205,-0.002078569472578562
325,1.0707418191509328,-0.000961913140865911
326,1.072811370821164,-9.32254273777744e-13
327,1.0727039217196466,-0.00010015656567397002
328,1.071919527542208,-0.0008313141566280713
329,1.07026805608792,-0.002370700761956779
330,1.0762636687999358,-9.29256671611256e-13
331,1.076404780202479,-9.291456493087935e-13
332,1.076223935978134,-0.00016800763864210921
333,1.073411724886241,-0.002780603888318245
334,1.0696295468814312,-0.006294317385665216
335,1.0618852307198814,-0.013488930698405954
336,1.0606541584206257,-0.01463261969152152
337,1.060842281229386,-0.014457850113923865
338,1.0625377328697203,-0.012882744102211574
339,1.0622661445974635,-0.013135054643052424
340,1.059955754542613,-0.015281449844320227
341,1.0638642873067676,-0.011650350432614087
342,1.0625891992003327,-0.012834930926760468
343,1.06451086814603,-0.011049664843740925
344,1.0643313170904278,-0.011216471103713377
345,1.064297199018052,-0.011248167425583322
346,1.0641687099352963,-0.011367536165966974
347,1.0628479380765472,-0.01259455771310225
348,1.0634546829433875,-0.012030880481266104
349,1.063324259731301,-0.012152046063661381
350,1.0624103280781048,-0.013001105516020517
351,1.0612289965169819,-0.01409858444109513
352,1.0622088454732324,-0.013188286591929832
353,1.0620508610569737,-0.013335057044053689
354,1.0629168816481183,-0.012530507856729378
355,1.0629765965758136,-0.012475031581638985
356,1.0619924861445822,-0.013389288420079692
357,1.0642048271435298,-0.011333982609816218
358,1.0649393135414331,-0.010651631126980421
359,1.0659170326218368,-0.009743311971969981
360,1.0654483395457448,-0.010178736530381371
361,1.0622885998819867,-0.013114193267354302
362,1.0664975311598384,-0.009204018066296449
363,1.064977529784844,-0.010616127528228603
364,1.0690791340359176,-0.006805661125154683
365,1.0691591144370094,-0.006731357849507069
366,1.069280897860768,-0.006618218790671371
367,1.07005261767507,-0.005901276773602082
368,1.0698665650024968,-0.006074123156296629
369,1.072240714959034,-0.003868493824096375
370,1.0718372877924398,-0.0042432851423939155
371,1.0704266019410484,-0.00555383845592039
372,1.0721994205488734,-0.003906857096835581
373,1.0713047159225486,-0.004738054284714632
374,1.071838579179355,-0.00424208542000426
375,1.0718900891935252,-0.00419423166171784
376,1.0727429591000373,-0.0034018997042633004
377,1.0735537795675216,-0.002648632455365396
378,1.0738103047775733,-0.0024103157786193874
379,1.0701977738038915,-0.005766424038375462
380,1.0668596009112084,-0.008867648553610441
381,1.067948407341683,-0.00785612719055151
382,1.0680779256566526,-0.007735802274356662
383,1.067486566180501,-0.008285186192960037
384,1.068116208958783,-0.007700236376810943
385,1.0703900022114006,-0.005587840283412193
386,1.0712458964978866,-0.004792698620882385
387,1.0704226440461369,-0.0055575154136823235
388,1.0689909296920561,-0.006887604596127361
389,1.0711936529393682,-0.004841233855470084
390,1.0699473643533322,-0.005999059061151946
391,1.0723385037216562,-0.003777646250376354
392,1.0721327646083976,-0.0039687817015026106
393,1.070922128926155,-0.005093484698467821
394,1.07334926546095,-0.002838629852564778
395,1.0734701249312422,-0.0027263491636316806
396,1.0742128607812034,-0.002036333786869071
397,1.073101127432697,-0.003069154681901054
398,1.073423690661203,-0.002769487461503628
399,1.071980539907183,-0.0041102012715512615
400,1.0695264683699766,-0.006390079234135593
401,1.0720002081275855,-0.004091929130100147
402,1.0719492140388662,-0.004139303584075993
403,1.0721462387153464,-0.003956264006304
404,1.0755350780661141,-0.0008079694120277647
405,1.0777104723753905,-9.279244039817058e-13
406,1.076099490007917,-0.0014948192578302377
407,1.0759163740685227,-0.0016647312556143934
408,1.0765622643184645,-0.0010654142159297608
409,1.077980425508951,-9.277023593767808e-13
410,1.0779727632819838,-7.10794721858754e-06
411,1.077145621606737,-0.0007744147142737523
412,1.0760778775008852,-0.0017649188835370255
413,1.07585488065511,-0.00197178427784106
414,1.075964822283882,-0.001869795757298176
415,1.076861391627403,-0.00103808367579461
416,1.076000877092052,-0.00183634913125863
417,1.0754253459485397,-0.0023702467140834793
418,1.077080282263327,-0.0008350274507055166
419,1.0783262566072853,-9.274803147718558e-13
420,1.0783747429455521,-9.273692924693933e-13
421,1.0786006234570527,-9.272582701669307e-13
422,1.0799000077577543,-9.261480471423056e-13
423,1.0813738334691467,-9.248157795127554e-13
424,1.079900783680304,-0.0013622021767585313
425,1.0794630442772537,-0.0017670015065570643
426,1.0797923090873096,-0.001462514011238869
427,1.0795932920914124,-0.0016465548949160524
428,1.0787411071759296,-0.002434612538911418
429,1.0784671720648602,-0.0026879339182446227
430,1.0768381352499337,-0.0041943850311765285
431,1.0767990754139658,-0.004230505598143197
432,1.076385101664436,-0.004613327649793386
433,1.0787215193144013,-0.002452726405663297
434,1.078390605521889,-0.0027587387968178723
435,1.0775021058371983,-0.0035803785084423945
436,1.0786230667293562,-0.002543770392486211
437,1.081000269236894,-0.0003454533683823202
438,1.08133716942964,-3.390505611655659e-05
439,1.0799897164343206,-0.0012799616496956823
440,1.0875909228415936,-9.195977312970172e-13
441,1.0866343059968404,-0.0008795741355150932
442,1.0845432667378296,-0.002802208110379012
443,1.0841947804548207,-0.0031226284777153834
444,1.0854256270786573,-0.0019909101100964444
445,1.084578571973751,-0.00276974623967019
446,1.08926008990038,-9.181544413650045e-13
447,1.0914831374460048,-9.162670622231417e-13
448,1.0904890642599128,-0.0009107545073185896
449,1.0900903451196986,-0.0012760548280791317
450,1.090177273746564,-0.0011964121621661494
451,1.0916849247005305,-9.160450176182167e-13
452,1.0895071364309414,-0.0019948871888878505
453,1.0871784938580396,-0.00412795921380249
454,1.0892923517950086,-0.002191633183151298
455,1.0892843223209856,-0.0021989883035173907
456,1.0894118274253162,-0.0020821916880787716
457,1.0892250478841246,-0.002253284589487703
458,1.090497707089412,-0.0010875093951152603
459,1.0908058968012528,-0.0008052029302484387
